,code,signal_id,phase,target,label
9,am al ak am am an al al am ao am an an aj an an am am an am al ao al al am am an am an al am an an aq an am am am an am an an an an al am am am ak ak ak am aq an an ak ak an ao am al an ak am ao am an an an am an an am ao an an ao an an am am al am an am ao al am al an an an am al an am an an am an an ao al an am an ap an am an an am al an am an am ao ap an am am ap ao an an am an am an ao an am an ao am am an am ao an am an ap am ak an an ap ao an an am ao am ao an an ao an ap an ao an ao an am ao an am ao an ao am an am ap am am an an ap ap am an am ap am ao an an am an am an ao ao ap am am ap ao aq ao am am ap as,9,0,0,Não
194,ca ca cb ca cb ca ca ca ca bu ca cb bt ca ca ca ca ca ca cb cb ca ca ca ca cb cb bs cb cb ca bu ca ca cb ca bu cb ca cb ca bu bu cb cb ca ca ca ca ca cb bu cb ca bu ca cb ca cb ca bt ca cb cb ca ca bu cc cb ca ca bu ca cb ca bu cb bu bu cb ca cb cb bt bu cb ca cb cb bu bu cc ca ca ca ca ca bu ca ca cb bu ca ca ca ca cd ca bu ca cb cb ca ca bu cb bu ca ca ca ca ca bu bu ca cb bu ca cb cb cb bt bu cb cb cb ca bu bu cb cb ca bu ca cb cc ca cc cb bu bu ca cc cc cc bt bu ca cb cb ca bu cb cb cb ca cb ca bu cb bu cb cb ca bu ca cb cb cc bu bu cb ca ca cb bu ca ca ca ca ca bu ca cb bt cb cb bu ca cb cb cd ca bt ca ca ca cb,194,2,0,Não
407,bp bo br br br bp bp bo bn bq bq bo bp bq bp bq bp bo bp bo bp bp bp bp bq bq bq bq bp bo bp bq bq bq bq bo br br bq bq bo bo bq br bp bq bo bp bp bp bo bp bq bo bq br bp bp br bp bp bp bp bo br br bp bq bq br bq bp bp bp bo br bq bp bq bp bp bq bs bn bo bp bp bq br bp bo br bq bo br bq bp bp bq bq bp bq bq br bp bq bq bq br br bq bp bq bq bq br bq bo bq bq br br bp bo br bq bp bq bq br br bs bo br bq bq br br bp bp br bq br br br bp bp bq bq br bq bp bp bq bs bq bo bq br bq bp bs bq bq bs br bq bq bq bq bq br bq br br bp br br bp bq bs bp bq bq br bq br br bq bo bo br bq bq bq bp bp br bs br bq bp br br br bq br br,407,2,0,Não
84,ak ai am al ai al am al ah am al aj aj an an aj aj am am ak al an al ak am ak al al am ak aj ak al ak aj an al ag aj am al ai al am ai aj al al al ak am ak ak al al al al an al aj am an aj aj am am al al ak al ak aj al ak aj ak ak ak ak am ak ai an al ai aj al ak al am al al al al am am am ak ak am am al ak am am aj ai am am ak ak ak al aj ak an al aj aj ak al al am ak aj am am al aj am al ak an am ak aj ak am an am al ak al al an ak am am aj aj ak an ak ai am an ak ak am am aj ak am an al al al al an am am ak al al al am am am ai ak an am ak ak am ak ak am al ak al ak ak al am ak aj al an an ak ak am al aj am am al,84,0,0,Não
485,ai ai ah aj ai aj aj aj aj ai aj aj aj aj ai aj aj aj aj ai ai ai ai aj aj ai ah ai aj ai aj ai ah ai ai ai ai ai ai ai ai aj aj aj ai aj ai aj ai ai aj ai ai ak aj ai aj ak aj ah ak ai ai aj aj ai ai aj aj ai ai ai ai ai aj ai ai ai aj ak ak aj aj ai ai ak aj ak aj aj aj ai ak ak ai ai aj ak aj aj ak ah aj aj ai ai aj aj aj ai aj ai aj aj ak ak ai ak ai aj ak aj ak aj aj ak aj ak ak aj aj aj ak ak aj aj aj aj ai aj aj aj ak aj aj aj ai aj ak aj ak ai ak ak ak ak aj aj aj aj ak al ak aj aj al ak al ai ak ak ak aj aj aj ai ai ak aj ai aj aj aj aj ak aj aj aj ak aj ak ak ak aj ak ak ak aj aj aj ak ak ak ak al ak ak aj,485,2,0,Não
420,bd bd be bf be be bg be be bd be be bg be be bg bc bd bf bf bg bh bf be bd bc be bg bd be bf be bf bd be be bh bc be be be bd bd bf bf bh bd be be be be bg bc bf be be bf bd bf be bi bc be bd bd be be bg bf bf bb bd be bf bf bh bc be be bd bg bf bg bd bg bc be bf bf bf be bf bf bf bc bd bf be bf bf bb be bd be bg bf bf be bf bd be bf bf bf bd bc bg bf be bd bf be bf be bc be be be be be be bg be bf bf be bf bf be bb bg bf bf be be be bf be bc bg be bf be be bd bg bc bf bf be be be bf bc bg be be bd bd bd bf be bd bf be be be bf bc bh bc be bf be bd bd bd bd be bg be bd bd bd bf bc be be be bd bd bd be bg bd be be be,420,0,0,Não
496,bq bn bq br bn bp bn bo br bo br bm bp bn bq bs bn br bm bo bp bo bq bn bo bm bo bq bo br bn bm bo bp bq bn bp bm bo bp bo bq bn bo bn bo bo bo bq bm bp bo bp bq bn bo bn bp bn bm bq bn bp bo bn bp bn br bm bo bn bm br bm br bo bn bn bn bq bm bq bn bn bo bo bq bo bo bn bm bo bn bq bn bm bn bn bo bn bq bn bm bn bn br bn bp bn bn bp bm br bm bn bo bn br bm bp bn bn bp bn br bm bm bn bm bp bn bn bn bn bn bn bp bn bn bo bn bn bm bn bm bp bn bm bp bm bn bn bn bo bm bn bm bp bo bo bo bm bo bm bo bo bn bo bm bo bo bn bp bm bn bn bo bp bm bo bl bo bo bn bp bn bm bn bm bo bn bo bm bn bn bn bq bm bm bm bm bn bp bn bm bm bm bo,496,1,0,Não
30,br br br bt bs br br bt bu br bp bs bs bs bt br bs br br bs bs br br br bq bs bt bs br bq bs br br bs bs br bp bs bu bs bp br bt bq br bs bs bt bp bs ca bs bq br bs bs br bq br bs br br bs bt br bo bs br bq bq bq bs br br br br bq bs bs bq br bs bs bq bp bs bt bq bp bs bt br br bt bt bp bq bt bs bq bq br bt bt bp br bt br br bp br bt bq bo bs bu bt bq bq bt br bo bs bs bq bq bs ca br bq bs bs bq bs bs bp bt bs br bs bq bt br bn br bu bs bo bq bt br bq br bs bp bq bq bs bu bq bq bq br bt br bp bq bs bs br bu bt br bq br bu br bo bp bs bs bq bs bt br bp br bq br br bo bq bs bs bt bq bp bs bq br bs br bq bq br bu bt bp,30,0,0,Não
316,cd ca bu cb cc ca ca cc cb ca cb cb cb cb cc cb ca ca cc cb cb cb cc cb bu cc cc cc cb cb cb cb cb cb cb cb cb ca cb cb cd ca ca cc cd ca bu cc cd bu bu cd cd ca ca cc cc ca ca cc cc cb ca cc cc cc cb cc cb cd cb ca cb cd cb ca cb cd cb bu cb cd cc bu cc cb cb ca cc cb cb cb cb cb cb cc cc cb ca cc cd cb cb cd cb cb cb ce cd cb ca cc cc cc cb cc cb cb cc cb cc cc cb bu cc cd cc bt cb cd cc bu cb cd cb bu cb ce cc ca ca cc cb cb ca cc cb cb ca cb cc cc ca bu cb cc ca bu cc cc ca bu cc cc ca bu cb cb cb ca cb cb cb cb cb bu ca cb ca ca cb cc bu bu ca ce ca bu ca cc ca bu cc cc cb bu ca cb cc cb ca bu cb cb ca cc cc ce,316,1,0,Não
409,bl bm bl bl bm bl bk bl bj bl bm bl bl bl bl bl bl bl bl bl bk bk bl bl bk bk bl bl bj bl bm bj bl bl bk bm bm bk bk bk bl bl bm bl bl bm bl bl bl bl bk bk bm bl bk bm bk bk bl bk bk bk bl bk bl bk bl bl bk bk bl bk bk bk bl bl bk bl bn bl bl bk bj bm bm bj bl bl bk bl bl bk bl bk bj bl bl bj bk bl bk bk bl bk bk bl bl bk bk bm bk bk bn bj bl bl bj bk bl bk bk bl bl bk bl bl bk bk bj bk bj bl bk bj bl bl bj bk bk bk bl bl bj bl bl bj bl bl bl bk bk bl bk bk bl bl bk bl bk bk bl bj bk bl bj bl bl bj bk bl bj bk bk bj bk bk bk bl bj bk bl bl bk bl bj bk bk bj bk bk bk bm bl bj bm bk bj bk bk bk bk bk bk bk bk bk bl bk,409,1,1,Sim
491,bq bm bp bp bp bn bn bp bo bn bn bp bo bo bo bn bn bp bm bn bn bo bm bm bo bn bn bn bo bn bm bn bm bo bn bn bm bn bn bm bm bm bn bn bn bn bo bm bn bn bo bn bn bm bn bo bn bn bm bo bm bm bn bn bn bn bo bn bn bn bn bm bo bo bp bm bp bn bm bo bo bp bn bo bn bo bn bn bp bn bo bm bo bn bo bm bm bn bo bm bn bn bn bn bn bn bn bp bm bn bn bm bm bn bo bn bn bn bm bm bm bm bm bm bm bm bn bm bn bo bm bn bm bn bn bn bo bn bn bm bo bm bm bm bn bo bn bn bn bn bo bm bm bn bm bm bm bp bn bn bm bn bp bm bo bm bo bn bn bn bn bp bn bm bm bn bm bn bm bn bm bn bn bm bo bn bn bm bo bn bn bm bn bm bl bo bn bn bm bm bm bn bn bl bm bm bm bn,491,2,0,Não
492,cb ca cb cb bu cb cc cb cb cb ca cb cc cb ca cb ca ca ca cc cc ca bu cb cc cb ca bu cb cb bu cb ca ca ca ca cb cb ca bu ca ca cb ca bu ca ca bu cc cb cb bu bt ca cb cb bu bu ca ca bu ca cb ca bu bu ca cc cb ca ca cb cb cb ca cb cb ca cb cd cc ca ca cc cc cc cb cb cc cb cb cb cc cc ca ca cb cc cc ca ca cb cb cb cb cc cb ca ca cb cc ca bu cb cb ca cb cb cb ca bt ca ca cc ca bt bu cc cb bu bu cb cb ca ca cb ca bu ca cb cb bu bu cb cb cb bu bu cb ca ca bu cb cb cb bu cb cd ca bu ca cc cc bu ca cc cc ca ca cb cc cb cb cc cc ca cb cb cd cc ca ca cc cd ca bt cb cc cc bt ca cb cb ca ca cc ca bu ca cb cc bu bu bu ca cb bt ca,492,0,0,Não
280,an ap aq an am ap ao ap an am an am an an an an am an am ao aq ao am an ap an aq an an am an am an ap an an ao an ap an ao ao an an an aq an ao an am ao am am am ao ap ao ap an ao ap ao ao am am an aq an am ap an ao am am an ao ao ap ao an be an ao ao am am an ao an am am am ao an ap ao am ao an as an am am an an an ba an ao an al an ap ar ao an am ak an iii as an an am am ap ao an am an ap ao ar an ap ap as aj ao ao aq ao an am aq ap as ap an ak al ao am aq ap ap am al am am at as ai an ai bj ao am an as an ak as an ar am aj aq an ap am an ao at aq ap ar ao ao an am ao am at aq am am an aq aq am am am ap am ap an am,280,1,1,Sim
356,bq bp bp bp bp bq bq bo bo bo bq bq bq bq bn bq bp bq bp bp bo bo bo bq br bq bq bp bp bp br bo bp bp bp bp bq bq br bp bo bq bq bq bq bp bn bp bp bq bq bq bp br br bo bp bp bp bp bp bp br br br bq bq bq bq bq bn bq bq bo bp bp bq bq br bq bp bq bp bq bq bp bp br br br bq br bp bq bp bq bq bq bq bq bq bq bs br br bq bq bq bq bq bq bq bq br bq bs bs br bq bq bq bq bq bq br bs br bq br br br bq bq bo bs br br br bq bq br bs bs br br bq br bq bs bu br bq br bs bs bs bs bo bp br bs bs br bq br bs bs br bs br br br br bs bs br br br bs bs bt br br br br br bs bs bs bs bt bs bs bs br bs br bs bs bs bs br br bs bt br bs br,356,2,0,Não
76,aj ah ai aj ah ai al ag ai ai ai ak ai aj af ak ag aj ak ai aj ah aj ah am ah ag ai ai ak aj ah ai ak ai ai ai ak ai ak af aj am aj ai ah ak ag am ah ai al ai aj ah ak ai ak ai ai aj aj ai ak ai ai aj ag ai ai al ah am ai ah aj aj al ai ai af al ak aj ak aj aj ai ai ah al aj ag ag ak aj an ah af ai aj ak ag ak af al aj ai al ai ai ag aj ai al ak ah ai ak ai ak ak ah ai ah al aj am ah ak aj ah aj ai al ai aj ag aj am ai aj ai ah aj aj ai aj al al ai ak ai ak ak ah ak ai aj ag am ak ak ak af ai ai al aj aj ai ah ak aj aj al ag ah ak aj ak aj ak ah al aj aj al ah aj ai al aj al ai ag ak ak aj aj ai aj ai aj aj al ak af,76,1,0,Não
462,bl bn bn bj bl bn bm bm bm bi bk bm bn bn bn bm bk bm bm bl bm bk bk bm bm bn bm bm bj bo bl bl bm bm bl bm bn bm bo bn bl bm bl bl bm bm bn bn bo bm bl bl bl bm bn bm bl bm bm bm bn bm bn bm bl bl bm bm bl bn bk bm bm bl bn bl bj bm bn bm bm bm bk bn bm bl bn bn bn bm bm bn bn bm bk bn bn bm bm bl bn bl bm bm bm bm bl bm bm bm bm bn bn bl bm bm bm bn bm bm bm bm bm bn bm bm bn bl bn bm bm bn bn bn bl bn bm bn bm bm bm bn bn bm bp bn bm bn bl bl bn bm bl bn bm bn bo bm bj bm bm bm bn bn bm bm bn bl bn bm bm bm bn bn bm bo bl bm bm bn bn bn bk bl bn bn bn bm bm bn bm bl bm bn bn bm bn bm bn bo bn bm bm bm bm bm bm bm,462,0,0,Não
498,ak ak aj ak aj aj ak aj ak al ak aj ak ak ak aj aj ak ak aj aj al aj al al ak aj ak al aj ak am ak aj aj ak am al ak aj ak aj ak al ak aj aj ak al ak ak ak ak ak ak ak al al ak al ak ak ak al ak al al ak aj ak ak al ak ak al aj aj al al al al ak ak ak ak al al al ak ak al al am al al al ak al al al am aj al al al ak ak ak al al ak ak ak am al al ak al ak al am am al ak aj am al al al ak ak al al al an al al al ak al ak al am ak ak ak ak al am al ak ak ak al am al al al ak al am al al al al al ak al al al ak ak al al al ak al al ak al ak al al al al al al ak am ak al am al ak al al al al al al ak al am am al al al ak,498,0,0,Não
211,am al ak aj am an am ak ag aj al an al am ak ar am ad at an bj ap as ap am an af an al ap an am an ao ap am am am an ao am am ai aj al al ak ag ac ak ag af ad ai ah ai ak ai am ak ak an am am an an am ao ao an an an an am am ak al am ak ak ah ad af ai ai af af af ag ak ak ak ah ai ak an ao an an ak an ao aq an am am am ap ao am an aj ak am aj ai ai ah ah ak ai ai aj ag ai aj aj ai aj ak am am al al al am an an an al am am am am al al al an ak al al ak ak ak aj aj ai ag ai aj ag ai al ai ak ak aj ak am am aj ak aj an an am al aj al am an am am al al an am am aj ai aj aj am am ak ak ai aj am al aj aj ai ai am al ak aj,211,1,0,Não
101,ba au at ba au as au ba au au au ba at at au au at au au au ba ba ba au au au au au au ba at at ba ba at ba ba au at au ba at ba au au au ba ba at au au au at au ba au au at ba at au ba ba ba au au au ba ba at au ba au at au bb au au at ba au as au at at au at at at ba as ar au as at ar au at at at at ba at at as at ba as au at ba au as at at at aq at ba at at ar at at at at ar as as as as at au ar ar as at at aq at at at at as ba as at as at au at au as ba au at ba at ba as au au au au as au au au at at au au as at as au as as au at au ar au ar at au as at as au as as au ar ba aq au as as at at as as at at as at as,101,2,0,Não
334,bf bh bf bf bf be bh be bg bg bf bg be bh bf bg bg bf bh bf bg bf bf bh bf bh be bg bg bf bg bf bh bf be bg bf bh bf bg bg bf bh bf bh bf bh bg bf bh bf bg bg bg bh bf bh bg bg bf bf bh bf bg bf bf bg bf bh bf bg bg be bg bf bg bf bf bg bg bg bf bg bf bf bf bf bg bf bh bf bf bf bf bf bf bh bf be bf bf bg bf bg bf be bg be bg bf bg bg bf bh bf bh bg bg bh bf bg bf bg bg bg bh bf bh bf bf bg bf bg bf bg bg bf bg bf bh bf bg bg be bg be bh bg bf bh be bg bg bg bf bf bh be bf bf bg bh bd bg bf bf bf be bg be bf bf be bg be bf be bg be be bg be bf bg bf bg bf bg bf bf bf bf bh be bg bg bg bf bf bh bg bf bf bf bf bf bh bg,334,1,0,Não
402,an aq ap an am an ao as ao am aq ap ar am an aq ar an an as at ap an ar ao am an ar an aq ar aq ao ao ap ap an an an am aq bb ap ak aq ar ap an am ar aq an as as ao ao ao ap ap an ap ao aq ar as an ao ap am ap ar an am ao at as am am ar am am aq ar an an ap ar ap an aq ao am ap as ao an ap as aq an an as ap am as ap ar ar aq ao aq ap ap ao aq aq ap ap an ar aq ao an an am ap ar ap an an ap aq ar am an ap ap aq ap ao at at am ar as ar ar ao ap ba ap an ar ap aq ao aq aq ao am ar ar am am aq ao ap ao am ar aq ap ar an aq ar an aq ba ar ao ar au ba an an as as ap ar aq ar as ar aq aq ap ao ap ao aq aq am an as aq ap ap,402,0,0,Não
336,aj al an am al an ak aj an am al al ak aj am an an am al ak am al al am am ak al am al ak am ak al am an al al al aj am am am am ak ak am an al am an al an am an an am al am an al ak ak ai al al an al am ak al ak ai al am al al an aj aj an al al an an al am am am am al am am ak am an ak ak am am am am al al ak aj am an am ak am al am am am an am an am am an an an ak am an ak am an al ak am an al al ak ak aj ak an am ak an am ak am an ak am am an an an am ak an an an an am am al al al an am am am aj aj al am ak al am ak an am al al al al al an an an am ak an al al an am ak ak an am an am al am al al aj an am an an am,336,0,0,Não
441,ae ac ad ak ac ac ab ae ag ae aj af aa ae ag af ae ab ab ae af ae ag aa ab ag ac ac ae ac af ah af ad ooo ag aj ab ooo ag ah ad af ae ai ae ac ah af uuu ae ai ad ad ae ac ag ad ac ag iii ad aj ai af ac ac ab ae ah af ac aa ah ag ab ag ag ah ab aa ad ah ag ag ag aa af ak af ae ac ae ae aa ak aj ac ac ag ah ac ad ae ae ad af ai ab aa ai ag ad ad af af ad af ak af aa ai ai uuu ad af ag ad ab ak aj ae af ag ac ab aj ag ag ad ad af ad ah ah ad ab ad ag ac ai ah ac ad aa aj ab uuu af ac ac ae af ag af ad aa ae af ai ai aa ae af aj ad af ag ad ae ae ah ac ad ai ad aa ae ae ae aa ab af af ab af ad aa ae ad ae ab ad ah ad ad af ai,441,0,0,Não
173,ac ad af ae ag ae ad ae af ae af ae ad ae af af ae ag ad ae ae ae ae ae af ae af af ae ae ae af ae ad ae af ae af ae af af af ad af af ad ae af af af ag ad ae ae ae ae af ae ad af ae ae af ae af ae ad ae af af af af ae ae af ae ae af ad ae ag af af af ad ac ae af ae ae ae ac af ag af ad ad ac ae af ae ae ae af ae af af ae ae ae ae ae af af ae ae af ae ad ae ae af ag ae ad af af ad ae af ad ad af ae af af ae ae af af ae af ae ae af af ag ag ad ad af af af af af ae ag ae af ag ad ad ad ad ad ag ae ae ae ad ae af af ac ad ae ae af ag ae af ae ad af af ae ad ad ad af ag af ae ad ae af ae ae ae ae ae ae ae ae ad ae ae ae,173,2,0,Não
2,aj aj ai aj al ak aj ai ak ak ak aj al aj ai ak al ak aj aj ak aj ai aj aj ai ai aj ak aj ai aj ai aj aj ak ai aj ak aj ak aj aj aj ai aj ak aj ah aj aj aj aj ak ai ai ah aj ai ai ai ai ai ai ai aj ai ag ai ah ai ah ah ai ah ah aj ai ah ah ai ah ah ah aj ai ah ah ai ai ai ah ai ah ah ah ah ai ah ah ag ai ah ai ai ah ah aj ag ai aj ai ai ah aj ai ah ai ak ah ai aj aj ah ah ai aj ah ah ak aj af ah ai aj ah ai ah ai ag aj ai ai ag ah aj ai ai ai aj af ai ah ai ai ah ah aj ai ai ai ah ai ag ai ai ah ah ah ah ai ai ag ah ah ag ah ai ah ah ag ag ai ag ai ah ai ag ah ai aj ag ag ah ai ah ah ai ai ah ah aj ai ag ah ag ai ah,2,2,0,Não
333,bp bq bp bo bp bo br bo bp bq bp bq bo br bp bq bq bp br bp bq bq bp bs bp bs bp bq br bq br bq bs bq bq br bq bs br br br bq br br bs bq bs bs bq bs bq bs br br bs bq bt br br bq bp bs bq bt bq br br bq bt bq br br bq bs bq br br br bt br bs bq bs br br br bq bs bs bt bs bq bs br bs bs bt bs bp bt bs bt br bs bt br bt br bt bt bs bu bs bt bt bt bu bs ca br bt bt bt bu bt bu bt bu bt br bu bs bt bt bt bt bs bt bt bt bt bs bt bs bs bs bt bu bs bu bs bt bt bs bs bs bu br bt bs bt bu br bt bs bs bt br bt br bs bs br bt bs bt br bt bs bs bt bs bt bt bs ca bt bu bs bt bt bt bu bs bt bt bt bt bt ca bt bu bt bt bt bs bu bt,333,0,0,Não
